      price  quantity  type               timestamp
0  91688000    0.0001     0 2024-04-28 18:42:28.485
1  91650000    0.0010     0 2024-04-28 18:42:28.485
2  91641000    0.0040     0 2024-04-28 18:42:28.485
3  91640000    0.0063     0 2024-04-28 18:42:28.485
4  91639000    0.0986     0 2024-04-28 18:42:28.485
      price  quantity  type               timestamp
0  91689000    0.0054     1 2024-04-28 18:42:28.485
1  91690000    0.6572     1 2024-04-28 18:42:28.485
2  91691000    0.0200     1 2024-04-28 18:42:28.485
3  91692000    0.0291     1 2024-04-28 18:42:28.485
4  91694000    0.0059     1 2024-04-28 18:42:28.485
      price  quantity  type               timestamp
0  91651000    0.0010     0 2024-04-28 18:42:33.454
1  91650000    0.0010     0 2024-04-28 18:42:33.454
2  91641000    0.0040     0 2024-04-28 18:42:33.454
3  91640000    0.0063     0 2024-04-28 18:42:33.454
4  91639000    0.0366     0 2024-04-28 18:42:33.454
      price  quantity  type               timestamp
0  91689000    0.0055     1 2024-04-28 18:42:33.454
1  91690000    0.6572     1 2024-04-28 18:42:33.454
2  91691000    0.0200     1 2024-04-28 18:42:33.454
3  91692000    0.0291     1 2024-04-28 18:42:33.454
4  91694000    0.0059     1 2024-04-28 18:42:33.454
      price  quantity  type               timestamp
0  91653000    0.0010     0 2024-04-28 18:42:38.416
1  91652000    0.0010     0 2024-04-28 18:42:38.416
2  91650000    0.0010     0 2024-04-28 18:42:38.416
3  91641000    0.0040     0 2024-04-28 18:42:38.416
4  91640000    0.0063     0 2024-04-28 18:42:38.416
      price  quantity  type               timestamp
0  91689000    0.0059     1 2024-04-28 18:42:38.416
1  91690000    0.6572     1 2024-04-28 18:42:38.416
2  91691000    0.0200     1 2024-04-28 18:42:38.416
3  91692000    0.0291     1 2024-04-28 18:42:38.416
4  91694000    0.0059     1 2024-04-28 18:42:38.416
      price  quantity  type               timestamp
0  91653000    0.0010     0 2024-04-28 18:42:43.374
1  91650000    0.0010     0 2024-04-28 18:42:43.374
2  91641000    0.0040     0 2024-04-28 18:42:43.374
3  91640000    0.0063     0 2024-04-28 18:42:43.374
4  91639000    0.0366     0 2024-04-28 18:42:43.374
      price  quantity  type               timestamp
0  91689000    0.0040     1 2024-04-28 18:42:43.374
1  91690000    0.6572     1 2024-04-28 18:42:43.374
2  91691000    0.0200     1 2024-04-28 18:42:43.374
3  91692000    0.0291     1 2024-04-28 18:42:43.374
4  91694000    0.0059     1 2024-04-28 18:42:43.374
      price  quantity  type               timestamp
0  91651000    0.0020     0 2024-04-28 18:42:48.331
1  91650000    0.0010     0 2024-04-28 18:42:48.331
2  91641000    0.0040     0 2024-04-28 18:42:48.331
3  91640000    0.0063     0 2024-04-28 18:42:48.331
4  91639000    0.0366     0 2024-04-28 18:42:48.331
      price  quantity  type               timestamp
0  91689000    0.0020     1 2024-04-28 18:42:48.331
1  91690000    0.6572     1 2024-04-28 18:42:48.331
2  91691000    0.0200     1 2024-04-28 18:42:48.331
3  91692000    0.0291     1 2024-04-28 18:42:48.331
4  91694000    0.0059     1 2024-04-28 18:42:48.331
      price  quantity  type               timestamp
0  91652000    0.0010     0 2024-04-28 18:42:53.317
1  91651000    0.0010     0 2024-04-28 18:42:53.317
2  91650000    0.0662     0 2024-04-28 18:42:53.317
3  91641000    0.0040     0 2024-04-28 18:42:53.317
4  91640000    0.0063     0 2024-04-28 18:42:53.317
      price  quantity  type               timestamp
