   price  quantity  type               timestamp
0  42100    2.3752     0 2024-04-28 18:42:36.853
1  42090   88.1726     0 2024-04-28 18:42:36.853
2  42080   27.4801     0 2024-04-28 18:42:36.853
3  42070   27.4801     0 2024-04-28 18:42:36.853
4  42060   99.8117     0 2024-04-28 18:42:36.853
   price  quantity  type               timestamp
0  42130   63.7382     1 2024-04-28 18:42:36.853
1  42140   39.1868     1 2024-04-28 18:42:36.853
2  42150  118.0000     1 2024-04-28 18:42:36.853
3  42160   27.4801     1 2024-04-28 18:42:36.853
4  42170   75.0000     1 2024-04-28 18:42:36.853
   price  quantity  type               timestamp
0  42100    2.3752     0 2024-04-28 18:42:41.813
1  42090   61.8793     0 2024-04-28 18:42:41.813
2  42080   27.4801     0 2024-04-28 18:42:41.813
3  42070   27.4801     0 2024-04-28 18:42:41.813
4  42060   51.0464     0 2024-04-28 18:42:41.813
   price  quantity  type               timestamp
0  42120   75.0000     1 2024-04-28 18:42:41.813
1  42130   38.0000     1 2024-04-28 18:42:41.813
2  42140    1.1868     1 2024-04-28 18:42:41.813
3  42150  118.0000     1 2024-04-28 18:42:41.813
4  42160   27.4801     1 2024-04-28 18:42:41.813
   price  quantity  type               timestamp
0  42100    2.3752     0 2024-04-28 18:42:46.767
1  42090   61.8793     0 2024-04-28 18:42:46.767
2  42080   27.4801     0 2024-04-28 18:42:46.767
3  42070   27.4801     0 2024-04-28 18:42:46.767
4  42060   51.0464     0 2024-04-28 18:42:46.767
   price  quantity  type               timestamp
0  42120   75.0000     1 2024-04-28 18:42:46.767
1  42130   38.0000     1 2024-04-28 18:42:46.767
2  42140    1.1868     1 2024-04-28 18:42:46.767
3  42150  118.0000     1 2024-04-28 18:42:46.767
4  42160   27.4801     1 2024-04-28 18:42:46.767
   price  quantity  type               timestamp
0  42100    2.3752     0 2024-04-28 18:42:51.727
1  42090   61.8793     0 2024-04-28 18:42:51.727
2  42080   27.4801     0 2024-04-28 18:42:51.727
3  42070   27.4801     0 2024-04-28 18:42:51.727
4  42060   51.0464     0 2024-04-28 18:42:51.727
   price  quantity  type               timestamp
0  42120   75.0000     1 2024-04-28 18:42:51.727
1  42130   38.0000     1 2024-04-28 18:42:51.727
2  42140    1.1868     1 2024-04-28 18:42:51.727
3  42150  118.0000     1 2024-04-28 18:42:51.727
4  42160   27.4801     1 2024-04-28 18:42:51.727
   price  quantity  type               timestamp
0  42100   18.2427     0 2024-04-28 18:42:56.682
1  42090   61.8793     0 2024-04-28 18:42:56.682
2  42080   27.4801     0 2024-04-28 18:42:56.682
3  42070   27.4801     0 2024-04-28 18:42:56.682
4  42060   89.0464     0 2024-04-28 18:42:56.682
   price  quantity  type               timestamp
0  42130   38.0000     1 2024-04-28 18:42:56.682
1  42140   76.1868     1 2024-04-28 18:42:56.682
2  42150  118.0000     1 2024-04-28 18:42:56.682
3  42160   27.4801     1 2024-04-28 18:42:56.682
4  42170   75.0000     1 2024-04-28 18:42:56.682
   price  quantity  type               timestamp
0  42100   18.2427     0 2024-04-28 18:43:01.636
1  42090   61.8793     0 2024-04-28 18:43:01.636
2  42080   27.4801     0 2024-04-28 18:43:01.636
3  42070   27.4801     0 2024-04-28 18:43:01.636
4  42060   51.0464     0 2024-04-28 18:43:01.636
   price  quantity  type               timestamp
0  42130   38.0000     1 2024-04-28 18:43:01.636
1  42140   76.1868     1 2024-04-28 18:43:01.636
2  42150  118.0000     1 2024-04-28 18:43:01.636
3  42160   27.4801     1 2024-04-28 18:43:01.636
4  42170   75.0000     1 2024-04-28 18:43:01.636
   price  quantity  type               timestamp
0  42100   18.2427     0 2024-04-28 18:43:06.593
1  42090   61.8793     0 2024-04-28 18:43:06.593
2  42080   27.4801     0 2024-04-28 18:43:06.593
3  42070   27.4801     0 2024-04-28 18:43:06.593
4  42060   80.8231     0 2024-04-28 18:43:06.593
   price  quantity  type               timestamp
0  42130  104.3881     1 2024-04-28 18:43:06.593
1  42140    1.1868     1 2024-04-28 18:43:06.593
2  42150  118.0000     1 2024-04-28 18:43:06.593
3  42160   27.4801     1 2024-04-28 18:43:06.593
4  42170   75.0000     1 2024-04-28 18:43:06.593
   price  quantity  type               timestamp
0  42100   18.2427     0 2024-04-28 18:43:11.558
1  42090   61.8793     0 2024-04-28 18:43:11.558
2  42080   27.4801     0 2024-04-28 18:43:11.558
3  42070   27.4801     0 2024-04-28 18:43:11.558
4  42060   80.8231     0 2024-04-28 18:43:11.558
   price  quantity  type               timestamp
0  42130   85.3120     1 2024-04-28 18:43:11.558
1  42140    1.1868     1 2024-04-28 18:43:11.558
2  42150  118.0000     1 2024-04-28 18:43:11.558
3  42160   27.4801     1 2024-04-28 18:43:11.558
4  42170   75.0000     1 2024-04-28 18:43:11.558
   price  quantity  type               timestamp
0  42110   27.4801     0 2024-04-28 18:43:16.527
1  42100   56.2427     0 2024-04-28 18:43:16.527
2  42090  164.3594     0 2024-04-28 18:43:16.527
3  42080  565.7255     0 2024-04-28 18:43:16.527
4  42070  145.4801     0 2024-04-28 18:43:16.527
   price  quantity  type               timestamp
0  42170  108.6031     1 2024-04-28 18:43:16.527
1  42180  118.0000     1 2024-04-28 18:43:16.527
2  42200  126.1767     1 2024-04-28 18:43:16.527
3  42210  140.1952     1 2024-04-28 18:43:16.527
4  42220  219.8183     1 2024-04-28 18:43:16.527
